Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1992-1993,1,1,Southeast,1,96,kentucky,rider,52,16,,,
1992-1993,1,1,Southeast,2,81,seton-hall,tennessee-state,59,15,,,
1992-1993,1,1,Southeast,3,82,florida-state,evansville,70,14,,,
1992-1993,1,1,Southeast,4,82,iowa,louisiana-monroe,69,13,,,
1992-1993,1,1,Southeast,5,81,wake-forest,chattanooga,58,12,,,
1992-1993,1,1,Southeast,6,53,kansas-state,tulane,55,11,,,
1992-1993,1,1,Southeast,7,55,western-kentucky,memphis,52,10,,,
1992-1993,1,1,Southeast,8,86,utah,pittsburgh,85,9,,,
1992-1993,1,2,West,1,84,michigan,coastal-carolina,53,16,,,
1992-1993,1,2,West,2,61,arizona,santa-clara,64,15,,,
1992-1993,1,2,West,3,92,vanderbilt,boise-state,72,14,,,
1992-1993,1,2,West,4,78,georgia-tech,southern,93,13,,,
1992-1993,1,2,West,5,68,new-mexico,george-washington,82,12,,,
1992-1993,1,2,West,6,75,illinois,long-beach-state,72,11,,,
1992-1993,1,2,West,7,75,temple,missouri,61,10,,,
1992-1993,1,2,West,8,70,iowa-state,ucla,81,9,,,
1992-1993,1,3,East,1,85,north-carolina,east-carolina,65,16,,,
1992-1993,1,3,East,2,93,cincinnati,coppin-state,66,15,,,
1992-1993,1,3,East,3,54,massachusetts,pennsylvania,50,14,,,
1992-1993,1,3,East,4,94,arkansas,holy-cross,64,13,,,
1992-1993,1,3,East,5,85,st.-john's-(ny),texas-tech,67,12,,,
1992-1993,1,3,East,6,78,virginia,manhattan,66,11,,,
1992-1993,1,3,East,7,93,new-mexico-state,nebraska,79,10,,,
1992-1993,1,3,East,8,74,rhode-island,purdue,68,9,,,
1992-1993,1,4,Midwest,1,97,indiana,wright-state,54,16,,,
1992-1993,1,4,Midwest,2,94,kansas,ball-state,72,15,,,
1992-1993,1,4,Midwest,3,105,duke,southern-illinois,70,14,,,
1992-1993,1,4,Midwest,4,76,louisville,delaware,70,13,,,
1992-1993,1,4,Midwest,5,74,oklahoma-state,marquette,62,12,,,
1992-1993,1,4,Midwest,6,66,california,louisiana-state,64,11,,,
1992-1993,1,4,Midwest,7,80,brigham-young,southern-methodist,71,10,,,
1992-1993,1,4,Midwest,8,55,new-orleans,xavier,73,9,,,
1992-1993,2,1,Southeast,1,83,kentucky,utah,62,8,,,
1992-1993,2,1,Southeast,2,68,seton-hall,western-kentucky,72,7,,,
1992-1993,2,1,Southeast,3,94,florida-state,tulane,63,11,,,
1992-1993,2,1,Southeast,4,78,iowa,wake-forest,84,5,,,
1992-1993,2,2,West,1,86,michigan,ucla,84,9,,,
1992-1993,2,2,West,15,57,santa-clara,temple,68,7,,,
1992-1993,2,2,West,3,85,vanderbilt,illinois,68,6,,,
1992-1993,2,2,West,13,80,southern,george-washington,90,12,,,
1992-1993,2,3,East,1,112,north-carolina,rhode-island,67,8,,,
1992-1993,2,3,East,2,92,cincinnati,new-mexico-state,55,7,,,
1992-1993,2,3,East,3,56,massachusetts,virginia,71,6,,,
1992-1993,2,3,East,4,80,arkansas,st.-john's-(ny),74,5,,,
1992-1993,2,4,Midwest,1,73,indiana,xavier,70,9,,,
1992-1993,2,4,Midwest,2,90,kansas,brigham-young,76,7,,,
1992-1993,2,4,Midwest,3,77,duke,california,82,6,,,
1992-1993,2,4,Midwest,4,78,louisville,oklahoma-state,63,5,,,
1992-1993,3,1,Southeast,1,103,kentucky,wake-forest,69,5,,,
1992-1993,3,1,Southeast,7,78,western-kentucky,florida-state,81,3,,,
1992-1993,3,2,West,1,72,michigan,george-washington,64,12,,,
1992-1993,3,2,West,7,67,temple,vanderbilt,59,3,,,
1992-1993,3,3,East,1,80,north-carolina,arkansas,74,4,,,
1992-1993,3,3,East,2,71,cincinnati,virginia,54,6,,,
1992-1993,3,4,Midwest,1,82,indiana,louisville,69,4,,,
1992-1993,3,4,Midwest,2,93,kansas,california,76,6,,,
1992-1993,4,1,Southeast,1,106,kentucky,florida-state,81,3,,,
1992-1993,4,2,West,1,77,michigan,temple,72,7,,,
1992-1993,4,3,East,1,75,north-carolina,cincinnati,68,2,,,
1992-1993,4,4,Midwest,1,77,indiana,kansas,83,2,,,
1992-1993,5,1,Final Four,1,78,kentucky,michigan,81,1,,,
1992-1993,5,2,Final Four,1,78,north-carolina,kansas,68,2,,,
1992-1993,6,1,Championship,1,71,michigan,north-carolina,77,1,,,
1993-1994,1,1,West,1,76,missouri,navy,53,16,,,
1993-1994,1,1,West,2,81,arizona,loyola-(md),55,15,,,
1993-1994,1,1,West,3,67,louisville,boise-state,58,14,,,
1993-1994,1,1,West,4,92,syracuse,hawaii,78,13,,,
1993-1994,1,1,West,5,57,california,green-bay,61,12,,,
1993-1994,1,1,West,6,74,minnesota,southern-illinois,60,11,,,
1993-1994,1,1,West,7,57,virginia,new-mexico,54,10,,,
1993-1994,1,1,West,8,72,cincinnati,wisconsin,80,9,,,
1993-1994,1,2,Midwest,1,94,arkansas,north-carolina-a&t,79,16,,,
1993-1994,1,2,Midwest,2,78,massachusetts,texas-southern,60,15,,,
1993-1994,1,2,Midwest,3,78,michigan,pepperdine,74,14,,,
1993-1994,1,2,Midwest,4,65,oklahoma-state,new-mexico-state,55,13,,,
1993-1994,1,2,Midwest,5,102,ucla,tulsa,112,12,,,
1993-1994,1,2,Midwest,6,91,texas,western-kentucky,77,11,,,
1993-1994,1,2,Midwest,7,66,saint-louis,maryland,74,10,,,
1993-1994,1,2,Midwest,8,77,illinois,georgetown,84,9,,,
1993-1994,1,3,East,1,71,north-carolina,liberty,51,16,,,
1993-1994,1,3,East,2,64,connecticut,rider,46,15,,,
1993-1994,1,3,East,3,64,florida,james-madison,62,14,,,
1993-1994,1,3,East,4,61,temple,drexel,39,13,,,
1993-1994,1,3,East,5,84,indiana,ohio,72,12,,,
1993-1994,1,3,East,6,80,nebraska,pennsylvania,90,11,,,
1993-1994,1,3,East,7,46,uab,george-washington,51,10,,,
1993-1994,1,3,East,8,64,washington-state,boston-college,67,9,,,
1993-1994,1,4,Southeast,1,98,purdue,central-florida,67,16,,,
1993-1994,1,4,Southeast,2,82,duke,texas-southern,70,15,,,
1993-1994,1,4,Southeast,3,83,kentucky,tennessee-state,70,14,,,
1993-1994,1,4,Southeast,4,102,kansas,chattanooga,73,13,,,
1993-1994,1,4,Southeast,5,68,wake-forest,college-of-charleston,58,12,,,
1993-1994,1,4,Southeast,6,81,marquette,louisiana-lafayette,59,11,,,
1993-1994,1,4,Southeast,7,84,michigan-state,seton-hall,73,10,,,
